fetched_at_utc,media_id,posted_at_utc,caption_excerpt,metric,value
2026-08-04T18:51:39+00:00,17986581102045374,2026-08-03T09:41:45+0000,Complicidad y vínculo.🤗,reach,160
2026-08-04T18:51:39+00:00,17986581102045374,2026-08-03T09:41:45+0000,Complicidad y vínculo.🤗,views,412
2026-08-04T18:51:39+00:00,17986581102045374,2026-08-03T09:41:45+0000,Complicidad y vínculo.🤗,likes,29
2026-08-04T18:51:39+00:00,17986581102045374,2026-08-03T09:41:45+0000,Complicidad y vínculo.🤗,comments,2
2026-08-04T18:51:39+00:00,17986581102045374,2026-08-03T09:41:45+0000,Complicidad y vínculo.🤗,shares,0
2026-08-04T18:51:39+00:00,17986581102045374,2026-08-03T09:41:45+0000,Complicidad y vínculo.🤗,saved,0
2026-08-04T18:51:39+00:00,17986581102045374,2026-08-03T09:41:45+0000,Complicidad y vínculo.🤗,total_interactions,36
2026-08-04T18:51:39+00:00,18138726442576721,2026-07-29T07:00:01+0000,Sombras que hablan y luces que susurran.,reach,259
2026-08-04T18:51:39+00:00,18138726442576721,2026-07-29T07:00:01+0000,Sombras que hablan y luces que susurran.,views,678
2026-08-04T18:51:39+00:00,18138726442576721,2026-07-29T07:00:01+0000,Sombras que hablan y luces que susurran.,likes,62
2026-08-04T18:51:39+00:00,18138726442576721,2026-07-29T07:00:01+0000,Sombras que hablan y luces que susurran.,comments,6
2026-08-04T18:51:39+00:00,18138726442576721,2026-07-29T07:00:01+0000,Sombras que hablan y luces que susurran.,shares,0
2026-08-04T18:51:39+00:00,18138726442576721,2026-07-29T07:00:01+0000,Sombras que hablan y luces que susurran.,saved,1
2026-08-04T18:51:39+00:00,18138726442576721,2026-07-29T07:00:01+0000,Sombras que hablan y luces que susurran.,total_interactions,76
2026-08-04T18:51:39+00:00,18112917949742295,2026-07-22T07:58:29+0000,Sesión de contrastes a color.,reach,619
2026-08-04T18:51:39+00:00,18112917949742295,2026-07-22T07:58:29+0000,Sesión de contrastes a color.,views,1349
2026-08-04T18:51:39+00:00,18112917949742295,2026-07-22T07:58:29+0000,Sesión de contrastes a color.,likes,77
2026-08-04T18:51:39+00:00,18112917949742295,2026-07-22T07:58:29+0000,Sesión de contrastes a color.,comments,3
